scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
16	1	0.88	1.84	Sure, I'll help you.	Ross	(He checks his watch) Sure. I’ll help you.	Ross	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
16	2	3.28	4.56	Oh, good, good.	Chandler	Good	Chandler	present	char_tracker_stage05	chandler	present	1.0000		medium	
16	3	4.56	6.48	Do you guys know how to get a chick out of a vcr?	Chandler	(rushing in) Oh, good! Good! Do you guys know how to get a chick out of a VCR?!	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
17	4	17.68	18.4	You know what?	Rachel	Y'know what	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
17	5	19.2	21.28	I cannot do this with my left hand.	Rachel	I cannot do this with my left hand	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
17	6	22.32	23.92	Would you please help me with this too?	Rachel	(She drops the brush) Y'know what? I cannot do this with my left hand! Would you please, help me with this too?	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
17	7	32.16	34.16	Okay, let's use this brush.	Rachel	(taking the brush back) Okay. Let’s use this brush. (Hands him another one.)	Rachel	present	char_tracker_stage05	rachel	present	1.0000		high	
17	8	34.16	34.72	Okay.	Ross	Okay	Ross	present	char_tracker_stage05	rachel	absent	0.0000		low	speaker_offscreen
17	9	35.76	36.48	This stuff?	Ross	Okay. This stuff?	Ross	present	char_tracker_stage05	rachel|ross	present	1.0000		high	
17	10	36.48	36.84	Yeah.	Rachel	Yeah.	Rachel	present	char_tracker_stage05	rachel|ross	present	1.0000		high	
17	11	36.84	37.28	Careful.				present	char_tracker_stage05	rachel|ross	unknown			low	missing_speaker
17	12	37.28	37.84	Okay.				present	char_tracker_stage05	rachel|ross	unknown			low	missing_speaker
17	13	38.48	39.44	Okay, now you do not.				present	char_tracker_stage05	rachel|ross	unknown			low	missing_speaker
17	14	39.44	41.32	Just sweep it across the lid.	Rachel	Careful. Light. Okay, do you know how, just sweep it across the lid. Okay? Just sweep it.	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
