scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	0.72	4.6	You know how before you said it might be weird, the whole student teacher thing?	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross		Ross	False		Speaker agrees with available community-transcript mapping.	y'know how before you said it might be weird the whole student teacher thing	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
1	2	4.6	7.52	And to be frank, I thought it would be too.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross	Ross		False		Speaker agrees with available community-transcript mapping.	y'know how before you said it might be weird the whole student teacher thing and to be frank i thought it would be too	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
15	3	7.52	8.4	But it's not.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Burt		Ross	False		Speaker agrees with available community-transcript mapping.	Y'know how before you said it might be weird, the whole student teacher thing, and to be frank I thought it would be too, but it's not	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
15	4	8.4	10.08	I mean, it's not at all.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Burt	Ross	Burt	False		Speaker agrees with available community-transcript mapping.	Listen, I gotta tell ya, I-I’m having a great time! Y’know how before you said it might be weird, the whole student teacher thing, and to be frank I thought it would be too, but it’s not. I mean it’s not at all.	Ross	Ross	present	char_tracker_stage05	ross	present	0.6667		high	
15	5	13.92	14.84	Dr. Geller.	Burt	high	community_transcript_match	1.0	dialogue	False	True	Ross | Burt	Ross	Burt	False		Speaker agrees with available community-transcript mapping.	(exiting from a restaurant) Dr. Geller!	Burt	Burt	absent	char_tracker_stage05		unobserved			high	
15	6	14.84	15.36	Burke.	Burt	medium	scene_context_inference	0.68	dialogue	True	False	Ross | Burt	Burt		True	scene_end_short_utterance	Filled from previous same-scene context.				present	char_tracker_stage05	ross	unobserved			medium	
16	7	19.28	21.04	So did you sleep well last night?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel | Fireman #2		Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	So did you sleep well last night?	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	8	21.44	22.0	I did.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel | Fireman #2	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	I did.	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	9	22.0	22.72	Yeah, I did.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel | Fireman #2	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Yeah?	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	10	22.72	23.72	Monica was so sweet.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel | Fireman #2	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	i did monica was so sweet	Rachel	Rachel	present	char_tracker_stage05	rachel	present	0.5		high	
