scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	2.96	3.92	0.96	1	0	0.0	1	0	0.0	0.0
3	3.92	26.24	22.32	2	1	1.0	1	1	1.0	-0.0
5	29.28	50.32	21.04	4	6	1.0	1	5	0.8333333333333334	1.7290811721694261
6	50.4	53.52	3.1200000000000045	1	0	0.0	1	0	0.0	0.0
9	69.5	113.13	43.629999999999995	2	1	1.0	1	1	1.0	-0.0
13	113.86	184.12	70.26	2	1	1.0	1	1	1.0	-0.0
14	184.12	236.81	52.69	3	3	1.0	1	3	1.0	0.966648883675324
16	242.97	299.79	56.82000000000002	3	3	1.0	1	3	1.0	0.45391751926741586
17	301.81	403.78	101.96999999999997	3	3	1.0	1	3	1.0	1.529192595574037
18	406.82	452.62	45.80000000000001	2	1	1.0	1	1	1.0	-0.0
19	459.18	545.78	86.59999999999997	3	3	1.0	1	2	0.6666666666666666	0.9793507682037295
20	550.35	588.64	38.289999999999964	2	1	1.0	1	1	1.0	-0.0
21	588.8	599.12	10.32000000000005	2	1	1.0	1	1	1.0	-0.0
23	613.62	634.51	20.889999999999986	3	3	1.0	1	3	1.0	1.0070396245188888
24	637.63	674.33	36.700000000000045	4	6	1.0	1	6	1.0	2.4317787079175748
25	685.85	690.57	4.720000000000027	1	0	0.0	1	0	0.0	0.0
