scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	2.48	17.12	14.64	2	1	1.0	1	1	1.0	-0.0
2	21.2	89.49	68.28999999999999	8	28	1.0	1	17	0.6071428571428571	3.9344635139760937
5	100.77	133.16	32.39	2	1	1.0	1	1	1.0	-0.0
6	137.4	184.29	46.889999999999986	3	3	1.0	1	3	1.0	1.0666408417020115
7	187.41	213.59	26.180000000000007	6	15	1.0	1	10	0.6666666666666666	3.2940534867734153
8	213.59	243.88	30.289999999999992	5	10	1.0	1	8	0.8	2.8115027382432265
9	251.06	259.7	8.639999999999986	2	1	1.0	1	1	1.0	-0.0
10	261.86	295.87	34.00999999999999	5	10	1.0	1	8	0.8	2.603602963802956
11	301.21	407.96	106.75	2	1	1.0	1	1	1.0	-0.0
12	420.18	460.19	40.00999999999999	5	10	1.0	1	8	0.8	2.5689317319801717
13	460.51	473.03	12.519999999999982	3	3	1.0	1	3	1.0	1.1581037412228723
14	473.03	477.0	3.9700000000000273	1	0	0.0	1	0	0.0	0.0
15	481.72	545.21	63.49000000000001	8	28	1.0	1	18	0.6428571428571429	3.8890837912292677
16	546.89	566.24	19.350000000000023	4	6	1.0	1	5	0.8333333333333334	2.2892142099229456
17	569.92	578.96	9.040000000000077	2	1	1.0	1	1	1.0	-0.0
18	580.24	638.86	58.620000000000005	4	6	1.0	1	3	0.5	1.8953834739680093
19	639.26	707.24	67.98000000000002	6	15	1.0	1	9	0.6	2.8222107981472484
