scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	2.16	19.68	17.52	2	1	1.0	1	1	1.0	-0.0
2	20.96	26.32	5.359999999999999	4	6	1.0	1	6	1.0	2.3301215925319947
3	30.68	61.32	30.64	4	6	1.0	1	6	1.0	1.948032248955835
4	62.68	90.87	28.190000000000005	1	0	0.0	1	0	0.0	0.0
5	90.87	117.75	26.879999999999995	2	1	1.0	1	1	1.0	-0.0
7	118.39	169.02	50.63000000000001	4	6	1.0	1	4	0.6666666666666666	1.9852786528516055
8	169.66	181.32	11.659999999999997	1	0	0.0	1	0	0.0	0.0
9	181.32	185.04	3.719999999999999	1	0	0.0	1	0	0.0	0.0
10	193.2	233.36	40.160000000000025	2	1	1.0	1	1	1.0	-0.0
11	238.38	273.75	35.370000000000005	2	1	1.0	1	1	1.0	-0.0
12	276.71	317.62	40.910000000000025	3	3	1.0	1	3	1.0	1.1440844313934404
13	325.22	345.62	20.399999999999977	4	6	1.0	1	4	0.6666666666666666	1.7584935836353708
14	347.85	357.37	9.519999999999982	4	6	1.0	1	6	1.0	2.384209834607184
15	361.05	467.08	106.02999999999997	7	21	1.0	1	13	0.6190476190476191	3.059012692514017
16	469.72	485.8	16.079999999999984	2	1	1.0	1	1	1.0	-0.0
17	487.96	512.1	24.140000000000043	2	1	1.0	1	1	1.0	-0.0
18	516.82	532.739	15.918999999999983	2	1	1.0	1	1	1.0	-0.0
19	533.78	672.72	138.94000000000005	6	15	1.0	1	14	0.9333333333333333	3.3759960410715664
