scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	2.32	23.68	21.36	5	10	1.0	1	9	0.9	3.04821383904274
2	23.68	33.02	9.340000000000003	2	1	1.0	1	1	1.0	-0.0
3	34.38	35.5	1.1199999999999974	1	0	0.0	1	0	0.0	0.0
4	37.5	41.18	3.6799999999999997	1	0	0.0	1	0	0.0	0.0
5	41.26	50.38	9.120000000000005	2	1	1.0	1	1	1.0	-0.0
6	53.9	63.93	10.030000000000001	2	1	1.0	1	1	1.0	-0.0
7	66.17	71.61	5.439999999999998	3	3	1.0	1	2	0.6666666666666666	1.2508526445773165
8	71.61	72.73	1.1200000000000045	1	0	0.0	1	0	0.0	0.0
9	73.29	115.12	41.83	4	6	1.0	1	5	0.8333333333333334	1.575995233405984
10	124.46	141.74	17.280000000000015	3	3	1.0	1	3	1.0	1.4185644431995963
12	141.74	207.335	65.595	7	21	1.0	1	15	0.7142857142857143	3.677146806773711
13	207.335	237.42	30.08499999999998	2	1	1.0	1	1	1.0	-0.0
14	245.1	290.3	45.20000000000002	6	15	1.0	1	10	0.6666666666666666	3.2853720253741217
15	290.3	337.82	47.51999999999998	5	10	1.0	1	7	0.7	2.8845467349363454
16	342.06	393.73	51.670000000000016	3	3	1.0	1	2	0.6666666666666666	0.6830463254947073
17	394.13	468.55	74.42000000000002	4	6	1.0	1	5	0.8333333333333334	1.8790096493768988
18	468.55	498.86	30.310000000000002	3	3	1.0	1	3	1.0	1.4685602271593188
20	505.83	557.22	51.39000000000004	2	1	1.0	1	1	1.0	-0.0
21	557.38	587.19	29.81000000000006	4	6	1.0	1	6	1.0	2.413578971742636
22	595.03	623.17	28.139999999999986	3	3	1.0	1	2	0.6666666666666666	1.1453111157105798
23	634.53	645.09	10.56000000000006	1	0	0.0	1	0	0.0	0.0
24	660.83	669.79	8.959999999999923	3	3	1.0	1	3	1.0	1.356467233432885
